rig_type,rig_type_label
1,Brig
2,Schooner
3,Curveta
4,Ship
5,Schooner-Brig
6,Smack
7,Patacho
8,Brigantine
9,Barque
10,Polacca Schooner
11,Pailebot
12,Pilot Boat
13,Sumaca
14,Yacht
15,Felucca
16,Galliot
17,Cutter
18,Pinnace
19,Launch
20,Barqua
21,Navio Mercante
22,Charrua de Guerra
23,Chalupa
24,Polaca
25,Galera
26,Vessel
27,Sloop
28,Steamer
29,Whaler
30,Fregat
31,Barque (Dutch)
32,Fluit
33,Brik
34,Hoeker
35,Snauw
36,Yaght
37,Pinas
38,Galjoot
39,Hekboot
40,Bergantim
41,Penque
42,Não
43,Corsario
44,Charrua
45,Fragata
46,Charruinha
47,Balandra
48,Paquete
49,Hyate (Iate)
50,Berlin
51,Goleta
52,Lugger
53,Ketch
54,Billd
55,Boat
56,Shallop (a) Shalp
57,Pink
58,Hay
59,Dogger
60,Buque
61,Laud
62,Brigue Escuna
63,Fragatihna
64,Nau Caravela
65,Lancha
66,Talaveira
67,Batelão
68,Barca a Vapor
69,Barca a Vapor de Guerra
70,Caravela
71,Galeão
72,Nau-Caravela
73,Barca Escuna
74,Brigue
75,Faluxo
76,Xixorro
77,Vasca
78,Sénaut
79,Brigue de Guerra
80,Pangaio
81,Palla
82,Barca
83,Escaller
84,Filibote
85,Urca
86,Pinnace
87,Columpo
88,Periagua (a) Petty Augre
89,Broad Sterne
90,Guardacosta
91,Guairo
92,Barqentine
93,Brigue Escuna de Guerra
94,Canhoneira a Vapor
95,Canoa
96,Correio
97,Escuna
98,Escuna de Guerra
99,Other
100,Fragata a Vapor
101,Galeota
102,Lugar
103,Palhabote
104,Paquete a Vapor
105,Patacho a Vapor
106,Patacho de Guerra
107,Transporte
108,Vapor
109,Vapor de Guerra
110,Steam Packet
111,Steam Schooner
112,Steamboat
113,Steamship
114,Transporte a Vapor
