broad_region_value,broad_region,specific_region_value,specific_region,place_value,place
10000,Europe,10100,Spain,10101,Alicante
10000,Europe,10100,Spain,10102,Barcelona
10000,Europe,10100,Spain,10103,Bilbao
10000,Europe,10100,Spain,10104,Cadiz
10000,Europe,10100,Spain,10105,Figuera
10000,Europe,10100,Spain,10106,Gibraltar
10000,Europe,10100,Spain,10107,Coruña
10000,Europe,10100,Spain,10108,Ávila
10000,Europe,10100,Spain,10109,Beja
10000,Europe,10100,Spain,10110,Santander
10000,Europe,10100,Spain,10111,Seville
10000,Europe,10100,Spain,10112,San Lucar
10000,Europe,10100,Spain,10113,Vigo
10000,Europe,10100,Spain,10114,Albacete
10000,Europe,10100,Spain,10115,Puerto Santa Maria
10000,Europe,10100,Spain,10116,Bragança
10000,Europe,10100,Spain,10117,Córdoba
10000,Europe,10100,Spain,10118,Extremadura
10000,Europe,10100,Spain,10119,Faro
10000,Europe,10100,Spain,10121,Galicia
10000,Europe,10100,Spain,10122,Granada
10000,Europe,10100,Spain,10123,"Gipuzkoa, Spain"
10000,Europe,10100,Spain,10124,Madrid
10000,Europe,10100,Spain,10125,Málaga
10000,Europe,10100,Spain,10126,"Mos, Pontevedra"
10000,Europe,10100,Spain,10127,Murcia
10000,Europe,10100,Spain,10128,Renton
10000,Europe,10100,Spain,10129,Olhão
10000,Europe,10100,Spain,10131,Valladolid
10000,Europe,10100,Spain,10199,"Spain, place unspecified"
10000,Europe,10200,Portugal,10201,Ameixeira
10000,Europe,10200,Portugal,10202,Lagos
10000,Europe,10200,Portugal,10203,Lisbon
10000,Europe,10200,Portugal,10204,Oporto
10000,Europe,10200,Portugal,10205,Ilha do Fayal
10000,Europe,10200,Portugal,10206,Setubal
10000,Europe,10200,Portugal,10207,Aveiro
10000,Europe,10200,Portugal,10208,Barcelos
10000,Europe,10200,Portugal,10209,Belém
10000,Europe,10200,Portugal,10210,Braga
10000,Europe,10200,Portugal,10211,Carzon de Braganza
10000,Europe,10200,Portugal,10212,Cascais
10000,Europe,10200,Portugal,10213,Castelo Branco
10000,Europe,10200,Portugal,10214,Cernache do Bonjardim
10000,Europe,10200,Portugal,10215,Chaves
10000,Europe,10200,Portugal,10216,Coimbra
10000,Europe,10200,Portugal,10217,Penalva do Castelo
10000,Europe,10200,Portugal,10218,Evora
10000,Europe,10200,Portugal,10219,Fafe
10000,Europe,10200,Portugal,10221,Graja
10000,Europe,10200,Portugal,10222,Guarda
10000,Europe,10200,Portugal,10223,Guimaraes
10000,Europe,10200,Portugal,10224,Leiria
10000,Europe,10200,Portugal,10225,Lugo
10000,Europe,10200,Portugal,10226,Mouraz
10000,Europe,10200,Portugal,10227,Óbidos
10000,Europe,10200,Portugal,10228,Ribadeo
10000,Europe,10200,Portugal,10229,Porto
10000,Europe,10200,Portugal,10230,Ourém
10000,Europe,10200,Portugal,10231,Freixo
10000,Europe,10200,Portugal,10232,Villa Cova
10000,Europe,10200,Portugal,10233,Santarém
10000,Europe,10200,Portugal,10234,São Martinho da Gândara
10000,Europe,10200,Portugal,10235,"Ilha de São Miguel, Açores"
10000,Europe,10200,Portugal,10236,"Sao Pedro lomar, Braga"
10000,Europe,10200,Portugal,10237,Sintra
10000,Europe,10200,Portugal,10238,Tavira
10000,Europe,10200,Portugal,10239,Vila Nova de Gaia
10000,Europe,10200,Portugal,10242,Viseu
10000,Europe,10200,Portugal,10244,Vila Nova
10000,Europe,10200,Portugal,10252,Funchal
10000,Europe,10200,Portugal,10253,Vila Real
10000,Europe,10200,Portugal,10254,Tabula
10000,Europe,10200,Portugal,10255,"Pomar, Coimbra"
10000,Europe,10200,Portugal,10299,"Portugal, port unspecified"
10000,Europe,10300,Great Britain,10301,"Ainsdale, Southport"
10000,Europe,10300,Great Britain,10302,Ovingham
10000,Europe,10300,Great Britain,10399,"Great Britain, place unspecified"
10000,Europe,10400,England and Wales,10401,Barmouth
10000,Europe,10400,England and Wales,10402,Bideford
10000,Europe,10400,England and Wales,10403,Birkenhead
10000,Europe,10400,England and Wales,10404,Bristol
10000,Europe,10400,England and Wales,10405,Brixham
10000,Europe,10400,England and Wales,10406,Broadstairs
10000,Europe,10400,England and Wales,10407,Cawsand
10000,Europe,10400,England and Wales,10408,Chepstow
10000,Europe,10400,England and Wales,10409,Chester
10000,Europe,10400,England and Wales,10410,Colchester
10000,Europe,10400,England and Wales,10411,Cowes
10000,Europe,10400,England and Wales,10412,Dartmouth
10000,Europe,10400,England and Wales,10413,Deptford
10000,Europe,10400,England and Wales,10414,Dover
10000,Europe,10400,England and Wales,10415,Exeter
10000,Europe,10400,England and Wales,10416,Folkstone
10000,Europe,10400,England and Wales,10417,Frodsham
